frame_idx,time,track_id,nose_x,nose_y,nose_conf,left_ear_conf,right_ear_conf,left_eye_conf,right_eye_conf,left_shoulder_conf,right_shoulder_conf,shoulder_width,head_center_x,head_center_y,head_width,head_width_source,offset,offset_reason,threshold,side,prev_side,turn_recorded,turns_in_window,max_turns,detected,confidence
586,19.53,1,592.1,439.2,0.445,0.974,0.08,0.596,0.019,0.998,0.939,69.1,,,34.5,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
586,19.53,2,587.0,113.9,0.966,0.811,0.422,0.957,0.878,0.971,0.895,20.7,587.6,105.5,10.4,shoulders*0.5,-0.0625,ok,0.3,center,center,False,0,2,False,0.0
586,19.53,3,537.0,69.5,0.861,0.928,0.061,0.883,0.278,0.955,0.918,12.5,537.0,69.5,6.3,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
586,19.53,5,513.4,207.3,0.667,0.927,0.128,0.742,0.108,0.986,0.889,74.7,513.4,207.3,37.3,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
587,19.57,1,592.1,439.2,0.445,0.974,0.08,0.596,0.019,0.998,0.939,69.1,,,34.5,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
587,19.57,2,587.0,113.9,0.966,0.811,0.422,0.957,0.878,0.971,0.895,20.7,587.6,105.5,10.4,shoulders*0.5,-0.0625,ok,0.3,center,center,False,0,2,False,0.0
587,19.57,3,537.0,69.5,0.861,0.928,0.061,0.883,0.278,0.955,0.918,12.5,537.0,69.5,6.3,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
587,19.57,5,513.4,207.3,0.667,0.927,0.128,0.742,0.108,0.986,0.889,74.7,513.4,207.3,37.3,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
588,19.6,1,592.1,439.2,0.445,0.974,0.08,0.596,0.019,0.998,0.939,69.1,,,34.5,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
588,19.6,2,587.0,113.9,0.966,0.811,0.422,0.957,0.878,0.971,0.895,20.7,587.6,105.5,10.4,shoulders*0.5,-0.0625,ok,0.3,center,center,False,0,2,False,0.0
588,19.6,3,537.0,69.5,0.861,0.928,0.061,0.883,0.278,0.955,0.918,12.5,537.0,69.5,6.3,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
588,19.6,5,513.4,207.3,0.667,0.927,0.128,0.742,0.108,0.986,0.889,74.7,513.4,207.3,37.3,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
589,19.63,1,592.1,439.3,0.44,0.974,0.081,0.592,0.018,0.998,0.937,69.1,,,34.5,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
589,19.63,2,585.9,115.3,0.963,0.856,0.376,0.962,0.861,0.971,0.895,19.9,586.5,107.2,10.0,shoulders*0.5,-0.0565,ok,0.3,center,center,False,0,2,False,0.0
589,19.63,3,538.5,70.3,0.888,0.91,0.071,0.901,0.382,0.953,0.915,7.0,538.5,70.3,3.5,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
589,19.63,4,578.7,36.6,0.94,0.907,0.142,0.958,0.702,0.975,0.919,36.2,579.1,30.6,18.1,shoulders*0.5,-0.0238,ok,0.3,center,center,False,0,2,False,0.0
589,19.63,5,512.5,206.9,0.658,0.928,0.126,0.736,0.102,0.986,0.894,70.7,512.5,206.9,35.4,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
590,19.67,1,592.1,439.3,0.439,0.974,0.081,0.591,0.018,0.998,0.937,69.1,,,34.6,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
590,19.67,2,585.9,115.3,0.963,0.856,0.376,0.962,0.861,0.97,0.894,19.9,586.5,107.2,10.0,shoulders*0.5,-0.0566,ok,0.3,center,center,False,0,2,False,0.0
